masterpiece,5,[🌟 Quality] tag,,
best_quality,5,[🌟 Quality] tag,"bestquality",
high_quality,5,[🌟 Quality] tag,"highquality",
perfect_composition,5,[🌟 Quality] tag,"perfectcomposition",
normal_quality,5,[🆗 Quality] tag,"normalquality",
low_quality,0,[💩 Quality] tag,,
worst_quality,0,[💩 Quality] tag,"worstquality",
bad_composition,0,[💩 Quality] tag,"badcomposition",
bad_anatomy,0,[💩 Quality] tag,"badanatomy,bad_body,impossible_body,unrealistic_body",
bad_proportions,0,[💩 Quality] tag,"badproportions,impossible_body_scale,unrealistic_body_scale,impossible_scale,unrealistic_proportions",
